Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
elclasificado.com/phoenix/agencia-viajes,64,45,00:01:49,44,63.64%,59.38%,$0.00
elclasificado.com/phoenix/cadillac-autos-autodealer,64,46,00:00:20,2,50.00%,7.81%,$0.00
elclasificado.com/phoenix/educacion,64,37,00:00:44,24,33.33%,34.38%,$0.00
elclasificado.com/phoenix/autos-honda/honda-accord-1994-8541817,63,54,00:01:26,2,100.00%,4.76%,$0.00
elclasificado.com/phoenix/empleo-domestico/limpieza-de-oficinas-8881472,63,57,00:03:47,31,64.52%,46.03%,$0.00
elclasificado.com/phoenix/autos-ford/2006-ford-crown-victoria-p-71-7498626,62,55,00:01:18,1,100.00%,3.23%,$0.00
elclasificado.com/phoenix/compra-venta-electrodomesticos,61,48,00:03:49,46,73.91%,72.13%,$0.00
elclasificado.com/phoenix/autos-ford/ford-f250-super-duty-xlt-8773188,60,59,00:01:03,2,50.00%,3.33%,$0.00
elclasificado.com/phoenix/empleo-domestico/real-estate-international-8567977,60,57,00:02:13,4,75.00%,11.67%,$0.00
elclasificado.com/phoenix/autos-dodge-autodealer,59,49,00:01:00,2,50.00%,1.69%,$0.00
elclasificado.com/phoenix/autos-ford-autodealer,59,42,00:00:15,2,100.00%,5.08%,$0.00
elclasificado.com/phoenix/decoraciones-fiestas,59,37,00:00:53,21,57.14%,28.81%,$0.00
elclasificado.com/phoenix/autos-chrysler-jeep/2003-cadillac-cts-7397486,57,47,00:01:07,2,0.00%,5.26%,$0.00
elclasificado.com/phoenix/autos-honda/lass-toyota-honda-civic-8747496,57,52,00:00:31,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/perros-mascotas/free-english-bulldog-puppies-8749128,57,37,00:06:01,7,42.86%,19.30%,$0.00
elclasificado.com/phoenix/venta-town-house,57,37,00:01:39,35,62.86%,59.65%,$0.00
elclasificado.com/phoenix/personales,56,32,00:00:10,0,0.00%,1.79%,$0.00
elclasificado.com/phoenix/telecom,56,26,00:00:18,0,0.00%,7.14%,$0.00
elclasificado.com/phoenix/venta-garaje,56,42,00:00:58,22,77.27%,41.07%,$0.00
elclasificado.com/phoenix/rentas-cuartos/habitacion-en-renta-8596575,55,46,00:01:32,2,0.00%,10.91%,$0.00
elclasificado.com/phoenix/compra-venta-ropa/pallets-de-tenis-de-marcas-8774319,54,48,00:00:55,1,0.00%,14.81%,$0.00
elclasificado.com/phoenix/volkswagen-autos/volswagen-beetle-2004-7607055,54,47,00:01:04,8,62.50%,20.37%,$0.00
elclasificado.com/phoenix/cosas-gratis-intercambio,53,36,00:02:59,33,63.64%,60.38%,$0.00
elclasificado.com/phoenix/compra-venta-ropa/pallets-de-tenis-de-marca-8811408,52,47,00:01:27,6,100.00%,23.08%,$0.00
elclasificado.com/phoenix/autos-honda/lolololo-honda-civic-8626085,51,48,00:00:34,2,100.00%,17.65%,$0.00
elclasificado.com/phoenix/empleo-domestico/servicio-de-limpieza-8584981,51,48,00:01:00,4,75.00%,9.80%,$0.00
elclasificado.com/phoenix/veterinarios-mascotas,51,31,00:00:36,27,48.15%,47.06%,$0.00
elclasificado.com/phoenix/autos-honda/sedan-clean-and-auto-new-8583948,50,45,00:00:44,1,100.00%,10.00%,$0.00
elclasificado.com/phoenix/autos-mazda-autodealer,50,41,00:00:10,0,0.00%,2.00%,$0.00
elclasificado.com/phoenix/motocicletas,50,32,00:00:35,16,62.50%,34.00%,$0.00
elclasificado.com/phoenix/accesorios-autos,49,40,00:01:58,9,55.56%,34.69%,$0.00
elclasificado.com/phoenix/autos-honda/riders-fitters-2009-honda-acco-7449911,48,44,00:01:00,0,0.00%,6.25%,$0.00
elclasificado.com/phoenix/compra-venta-liquidaciones,48,37,00:00:36,17,64.71%,35.42%,$0.00
elclasificado.com/phoenix/empleo-domestico/personal-de-limpieza-8385490,47,45,00:00:47,1,0.00%,8.51%,$0.00
elclasificado.com/phoenix/empleo-marketing,47,40,00:00:33,2,0.00%,6.38%,$0.00
elclasificado.com/phoenix/autos-chevrolet/chevrolet-tahoe-4x4-8797215,46,37,00:01:00,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/autos-honda/2004-honda-civic-ex-sedan-7499604,46,45,00:00:52,0,0.00%,4.35%,$0.00
elclasificado.com/phoenix/autos-usados,46,43,00:01:02,0,0.00%,2.17%,$0.00
elclasificado.com/phoenix/empleo-internet,46,33,00:00:39,1,0.00%,4.35%,$0.00
elclasificado.com/phoenix/volkswagen-autos/2003-volkswagen-beetle-gls-tur-7416601,46,40,00:01:12,3,0.00%,6.52%,$0.00
elclasificado.com/phoenix/compra-venta-mayoreo?pg=2,45,21,00:00:39,0,0.00%,4.44%,$0.00
elclasificado.com/phoenix/empleo-domestico/empleo-servicio-domestico-8616550,45,39,00:03:05,4,25.00%,15.56%,$0.00
elclasificado.com/phoenix/fotos-video-fiestas,45,34,00:01:03,27,62.96%,53.33%,$0.00
elclasificado.com/phoenix/pajaros-mascotas,45,30,00:01:26,24,41.67%,42.22%,$0.00
elclasificado.com/phoenix/transporte-envio-paquetes/paqueteria-en-phoenix-az-8490167,45,37,00:01:24,2,50.00%,11.11%,$0.00
elclasificado.com/phoenix/venta-celulares,45,26,00:00:52,21,61.90%,48.89%,$0.00
elclasificado.com/phoenix/autos-honda-autodealer,44,34,00:00:16,1,100.00%,6.82%,$0.00
elclasificado.com/phoenix/autos-honda/excellant-honda-accord-en-vent-7433428,44,40,00:00:38,0,0.00%,9.09%,$0.00
elclasificado.com/phoenix/empleo-domestico/job-8567911,44,39,00:01:38,1,0.00%,4.55%,$0.00
elclasificado.com/phoenix/gmc-autos-autodealer,44,28,00:00:11,1,100.00%,2.27%,$0.00
elclasificado.com/phoenix/gmc-autos/2006-gmc-sierra-2500-slt-8724820,44,37,00:02:01,3,66.67%,13.64%,$0.00
elclasificado.com/phoenix/motos-honda,44,25,00:00:42,14,42.86%,29.55%,$0.00
elclasificado.com/phoenix/empleo-domestico/jobs-8567860,43,40,00:01:05,3,100.00%,11.63%,$0.00
elclasificado.com/phoenix/abogados-casos-civiles,42,26,00:03:05,26,57.69%,57.14%,$0.00
elclasificado.com/phoenix/mujer-hombre-personales,42,28,00:01:04,11,72.73%,26.19%,$0.00
elclasificado.com/phoenix/rentas-cuartos/nice-room-for-rent-8756011,42,38,00:00:41,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/autos-honda/1995-honda-civic-runs-good-8480042,41,40,00:00:32,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/bmw-autos-autodealer,41,32,00:00:30,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/transporte-envio-paquetes/envios-a-todo-mexico-7523312,41,37,00:01:37,2,100.00%,26.83%,$0.00
elclasificado.com/phoenix/vidrios-autos,41,25,00:05:51,24,45.83%,48.78%,$0.00
elclasificado.com/phoenix/autos-honda/2008-honda-accord-fwd-4-cyl-8586776,40,36,00:01:03,0,0.00%,2.50%,$0.00
elclasificado.com/phoenix/clases-musica,40,40,00:00:32,39,97.44%,97.50%,$0.00
elclasificado.com/phoenix/empleo-cuidado-ninos/ni-era-con-experiencia-8748763,40,31,00:01:11,1,100.00%,7.50%,$0.00
elclasificado.com/phoenix/autos-ford/2000-ford-focus-7583439,39,36,00:01:28,1,0.00%,10.26%,$0.00
elclasificado.com/phoenix/autos-pontiac,39,28,00:00:16,0,0.00%,2.56%,$0.00
elclasificado.com/phoenix/comida-fiestas,39,33,00:00:54,26,73.08%,66.67%,$0.00
elclasificado.com/phoenix/compra-venta-tienda-segunda-mano,39,28,00:00:51,15,53.33%,35.90%,$0.00
elclasificado.com/phoenix/vestidos-tux-fiestas,39,28,00:01:52,28,67.86%,64.10%,$0.00
elclasificado.com/phoenix/autos-honda/honda-accord-for-sale-8621930,38,31,00:02:19,0,0.00%,2.63%,$0.00
elclasificado.com/phoenix/compra-venta-muebles-casa/seccional-de-venta-8622743,38,38,00:00:48,2,100.00%,13.16%,$0.00
elclasificado.com/phoenix/eventos-comunitarios,38,28,00:04:53,27,70.37%,68.42%,$0.00
elclasificado.com/phoenix/oportunidad-empleo/paneles-solares-7595161,38,36,00:01:24,1,0.00%,0.00%,$0.00
elclasificado.com/phoenix/solo-adultos/soltero-y-sin-compromiso-8798589,38,31,00:00:44,2,50.00%,15.79%,$0.00
elclasificado.com/phoenix/autos-honda/2003-honda-civic-ex-coupe-7468149,37,34,00:01:26,1,0.00%,5.41%,$0.00
elclasificado.com/phoenix/empleo-electricistas,37,27,00:00:51,7,57.14%,24.32%,$0.00
elclasificado.com/phoenix/autos-honda/505-336-3230-8538306,36,32,00:01:25,0,0.00%,5.56%,$0.00
elclasificado.com/phoenix/bmw-autos/2008-bmw-6-series-650i-7495132,36,34,00:00:45,0,0.00%,2.78%,$0.00
elclasificado.com/phoenix/rentas-apartamentos/apartamento-8496467,36,33,00:00:36,3,66.67%,5.56%,$0.00
elclasificado.com/phoenix/salones-fiestas/salon-de-fiestas-economico-8598049,36,26,00:01:11,0,0.00%,16.67%,$0.00
elclasificado.com/phoenix/animales-mascotas,35,25,00:02:10,14,57.14%,45.71%,$0.00
elclasificado.com/phoenix/compra-venta-liquidaciones/vendo-lote-de-joyeria-fantacia-8335940,34,20,00:04:04,13,61.54%,41.18%,$0.00
elclasificado.com/phoenix/compra-venta-negocios,34,28,00:03:05,23,60.87%,55.88%,$0.00
elclasificado.com/phoenix/jeep-autos-autodealer,34,29,00:00:09,0,0.00%,2.94%,$0.00
elclasificado.com/phoenix/autos-toyota/vendo-camper-para-toyota-tacom-7487897,33,30,00:01:22,3,66.67%,12.12%,$0.00
elclasificado.com/phoenix/oportunidad-empleo/landscape-labor-7441726,33,27,00:01:16,1,0.00%,3.03%,$0.00
elclasificado.com/phoenix/rentas-apartamentos/camelback-apartments-8417595,33,28,00:01:43,4,50.00%,15.15%,$0.00
elclasificado.com/phoenix/satelite-cable,33,17,00:00:46,9,44.44%,24.24%,$0.00
elclasificado.com/phoenix/autos-ford/mustang-97-standard-trade-7425127,32,30,00:00:57,0,0.00%,3.12%,$0.00
elclasificado.com/phoenix/compra-venta-ropa/jeans-colombianos-x-mayoreo-6708908,32,32,00:01:03,1,100.00%,3.12%,$0.00
elclasificado.com/phoenix/compra-venta-ropa/solo-mayoreo-6-bras-x-7-99-7257892,32,30,00:01:18,0,0.00%,3.12%,$0.00
elclasificado.com/phoenix/rentas-apartamentos/city-15-newly-renovated-8808583,32,25,00:01:07,0,0.00%,6.25%,$0.00
elclasificado.com/phoenix/tractores-agricultura,32,18,00:00:42,9,33.33%,28.12%,$0.00
elclasificado.com/phoenix/venta-terrenos/tonopah-az-ranch-lots-for-sale-8397472,32,28,00:02:58,2,100.00%,25.00%,$0.00
elclasificado.com/phoenix/clases-ingles/clases-para-hispanos-7690918,31,23,00:01:32,0,0.00%,16.13%,$0.00
elclasificado.com/phoenix/empleo-choferes-troqueros/trabajo-truck-drivers-clase-a-8769404,31,26,00:01:23,3,33.33%,16.13%,$0.00
elclasificado.com/phoenix/empleo-fabricas,31,27,00:03:23,21,42.86%,45.16%,$0.00
elclasificado.com/phoenix/gerentes-supervisores-empleo,31,25,00:00:22,0,0.00%,9.68%,$0.00
elclasificado.com/phoenix/transporte-envio-paquetes/paqueteria-pronto-express-7695939,31,26,00:02:03,3,33.33%,16.13%,$0.00
elclasificado.com/phoenix/acura-autos-autodealer,30,23,00:00:09,0,0.00%,6.67%,$0.00
elclasificado.com/phoenix/autos-honda/air-conditioning-alarm-system-8705799,30,28,00:00:38,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/empleo-domestico/linpiesa-de-casas-8356943,30,29,00:00:36,1,100.00%,10.00%,$0.00
elclasificado.com/phoenix/empleo-meseros-cocineros/solicitamos-meseras-8385689,30,26,00:00:32,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/search-results?categoryId=1,30,13,00:01:38,0,0.00%,13.33%,$0.00
elclasificado.com/phoenix/autos-dodge/de-venta-dodge-neon-8622734,29,28,00:00:32,1,100.00%,6.90%,$0.00
elclasificado.com/phoenix/autos-honda/luxery-cheaper-honda-accord-7659845,29,27,00:01:15,1,0.00%,3.45%,$0.00
elclasificado.com/phoenix/busco-rentar/casa-de-renta-en-buckeye-az-8829186,29,22,00:02:01,0,0.00%,10.34%,$0.00
elclasificado.com/phoenix/empleo-domestico/room-att-phoenix-8614978,29,29,00:01:40,0,0.00%,13.79%,$0.00
elclasificado.com/phoenix/limosinas-fiestas,29,24,00:03:27,24,70.83%,72.41%,$0.00
elclasificado.com/phoenix/mercedes-benz-autos,29,16,00:00:09,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/clases-ingles/clases-de-ingles-gratis-8335090,28,25,00:00:40,1,100.00%,25.00%,$0.00
elclasificado.com/phoenix/compra-venta-ropa/pallets-de-tenis-de-marcas-8774290,28,25,00:01:33,1,0.00%,10.71%,$0.00
elclasificado.com/phoenix/empleo-cuidado-ninos/empleo-babysitter-nanny-8616555,28,22,00:02:35,0,0.00%,21.43%,$0.00
elclasificado.com/phoenix/lincoln-autos-autodealer,28,25,00:00:23,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/servicio-auto,28,22,00:00:57,1,0.00%,7.14%,$0.00
elclasificado.com/phoenix/transporte-envio-paquetes/paqueteria-pronto-express-7412774,28,24,00:01:17,0,0.00%,14.29%,$0.00
elclasificado.com/phoenix/belleza-bajar-peso,27,16,00:02:23,15,46.67%,48.15%,$0.00
elclasificado.com/phoenix/invitaciones-fiesta,27,15,00:00:58,13,46.15%,40.74%,$0.00
elclasificado.com/phoenix/oportunidad-empleo/room-att-phoenix-8614981,27,27,00:02:35,0,0.00%,11.11%,$0.00
elclasificado.com/phoenix/perros-mascotas/bulldog-ingles-cachorros-lindo-8640172,27,21,00:01:08,2,50.00%,11.11%,$0.00
elclasificado.com/phoenix/cerrajeros-general,26,22,00:06:34,20,70.00%,73.08%,$0.00
elclasificado.com/phoenix/clases-masaje,26,25,00:07:17,23,95.65%,96.15%,$0.00
elclasificado.com/phoenix/compra-venta-ropa/chamarras-por-mayoreo-8626391,26,23,00:01:47,3,0.00%,11.54%,$0.00
elclasificado.com/phoenix/empleo-domestico/busco-un-trabajo-8148341,26,24,00:00:43,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/empleo-meseros-cocineros/nesesito-un-trabajo-8419093,26,24,00:00:51,0,0.00%,3.85%,$0.00
elclasificado.com/phoenix/search-results?categoryId=22,26,10,00:01:15,0,0.00%,7.69%,$0.00
elclasificado.com/phoenix/autos-honda/juvial-2006-honda-ex-8625952,25,24,00:01:13,2,0.00%,16.00%,$0.00
elclasificado.com/phoenix/clases-baile,25,21,00:00:58,18,72.22%,64.00%,$0.00
elclasificado.com/phoenix/compra-venta-ropa/baratas-chamarras-x-mayoreo-8750094,25,24,00:02:27,1,0.00%,4.00%,$0.00
elclasificado.com/phoenix/compra-venta-ropa/sandalias-de-dama-por-mayoreo-6708893,25,23,00:01:45,2,50.00%,12.00%,$0.00
elclasificado.com/phoenix/empleo-domestico/trabajos-inmediatos-8469192,25,24,00:02:00,0,0.00%,4.00%,$0.00
elclasificado.com/phoenix/empleo-meseros-cocineros/cocinero-cocinera-fast-food-8875949,25,21,00:03:55,10,40.00%,36.00%,$0.00
elclasificado.com/phoenix/infinity-autos,25,21,00:00:09,1,100.00%,8.00%,$0.00
elclasificado.com/phoenix/motos-usadas,25,10,00:02:02,5,40.00%,24.00%,$0.00
elclasificado.com/phoenix/rines-llantas-autos/auto-part-now-8792675,25,23,00:01:12,1,0.00%,16.00%,$0.00
elclasificado.com/phoenix/sobadores-salud,25,23,00:01:03,23,86.96%,88.00%,$0.00
elclasificado.com/phoenix/autos-chevrolet/importaciones-a-mexico-8333628,24,24,00:00:22,0,0.00%,12.50%,$0.00
elclasificado.com/phoenix/bares-clubs,24,16,00:01:38,16,68.75%,62.50%,$0.00
elclasificado.com/phoenix/empleo-cuidado-ninos/busco-ninera-para-vivir-dentro-8558027,24,24,00:01:05,1,0.00%,0.00%,$0.00
elclasificado.com/phoenix/hogar,24,12,00:00:42,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/lexus-autos/2002-lexus-es300-8588723,24,19,00:01:03,1,0.00%,4.17%,$0.00
elclasificado.com/phoenix/perros-mascotas/cachorros-bulldog-ingles-8700372,24,23,00:00:50,0,0.00%,12.50%,$0.00
elclasificado.com/phoenix/rentas-apartamentos/domus-now-open-8808783,24,23,00:01:16,0,0.00%,4.17%,$0.00
elclasificado.com/phoenix/clases-cursos,23,19,00:01:05,11,54.55%,56.52%,$0.00
elclasificado.com/phoenix/empleo-domestico/limpio-casas-8707660,23,19,00:00:29,0,0.00%,0.00%,$0.00
elclasificado.com/phoenix/fertilidad-salud,23,16,00:01:10,16,62.50%,69.57%,$0.00
elclasificado.com/phoenix/investigadores,23,11,00:06:11,11,72.73%,47.83%,$0.00
elclasificado.com/phoenix/legal-inmigracion,23,15,00:00:45,4,50.00%,26.09%,$0.00
elclasificado.com/phoenix/perros-mascotas/cachorros-pomeraani-8588496,23,19,00:02:33,0,0.00%,13.04%,$0.00
elclasificado.com/phoenix/solo-adultos/unete-tu-tambien-al-juego-7436552,23,20,00:00:23,0,0.00%,13.04%,$0.00
elclasificado.com/phoenix/compra-venta-mercancia,22,18,00:00:19,0,0.00%,4.55%,$0.00
elclasificado.com/phoenix/empleo-computacion,22,19,00:00:50,0,0.00%,4.55%,$0.00
